PubID,Ticket,Name,Platform,Assignee,Start Date,Feature Flag,Planned Sites,Planned Devices,Planned Genders,Planned Languages,Current Status,Analytics,Publication
0,http://127.0.0.1:8050/,Mikhail Sergeev,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Planned,,[Mikhail Sergeev](http://127.0.0.1:8050/)
1,http://127.0.0.1:8050/,Mikhail Sergeev2,Hard-coded,Nathalia Pena,,False,All,Web,All,All,Planned,,[Mikhail Sergeev2](http://127.0.0.1:8050/)
2,http://127.0.0.1:8050/,Mikhail 3,Hard-coded,Angela Triana,,False,All,Web,All,All,Planned,,[Mikhail 3](http://127.0.0.1:8050/)
3,http://127.0.0.1:8050/,Mikhail 34,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Planned,,[Mikhail 34](http://127.0.0.1:8050/)
4,http://127.0.0.1:8050/,Mikhail Sergeev3,Hard-coded,Ranti Wardhani,,False,All,Web,All,All,Planned,,[Mikhail Sergeev3](http://127.0.0.1:8050/)
5,http://127.0.0.1:8050/,Mikhail Sergeev378989,Retention,Dmitrii Galkin,,False,All,All,All,All,Planned,,[Mikhail Sergeev378989](http://127.0.0.1:8050/)
6,http://127.0.0.1:8050/,dfs,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Planned,,[dfs](http://127.0.0.1:8050/)
7,http://127.0.0.1:8050/,Mikhail Sergeev342,Retention,,,False,All,All,All,All,Planned,,[Mikhail Sergeev342](http://127.0.0.1:8050/)
8,http://127.0.0.1:8050/,Mikhail Sergeev233234,Hard-coded,Faza Adiguno,2024-12-05,False,All,Web,All,All,Planned,,[Mikhail Sergeev233234](http://127.0.0.1:8050/)
9,http://rwr42343232.ru/,Mikhail Sergeev432,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Planned,,[Mikhail Sergeev432](http://rwr42343232.ru/)
