PubID,StatusID,Action,Date,Sites,Devices,Genders,Languages,Comment
0,0,Roll Out,2024-12-31,All,"Desktop, Web",Female,All,
0,1,Deployed,2024-12-31,"ELC+SLC, All","Desktop, Web, Web",All,All,
0,2,Deployed,2024-12-31,,Mobile,All,All,
1,1,Deployed,,,Web,All,All,
1,0,Planned,2024-12-23,All,Web,All,All,
1,3,Planned,2024-12-29,AsianDating,"Desktop, Mobile, Web",All,All,
1,2,Planned,2024-12-31,"AfroIntroductions, ELC+SLC",Web,All,All,
1,4,Roll Out,2024-12-31,All,Web,All,All,
1,5,Roll Out,2024-12-31,All,Web,All,All,
1,6,Roll Out,2024-12-31,All,Web,All,All,
1,7,Roll Out,2025-01-05,All,Web,All,All,
1,8,Deployed,2025-01-08,"All, Core CM, VietnamCupid",Web,All,All,
5,0,Expansion,2024-12-29,BBWCupid,Desktop,All,All,dfghjkl
16,0,Expansion,2024-12-29,ELC+SLC,All,All,All,
18,0,Planned,2025-01-02,AfroIntroductions,Web,All,All,
