PubID,StatusID,Action,Date,Sites,Devices,Genders,Languages,Comment
0,0,Roll Out,2024-12-29,All,Web,Female,All,
0,1,Deployed,2024-12-31,All,Web,All,All,
1,0,Planned,2024-12-29,All,Web,All,All,
1,1,Deployed,2024-12-29,AfroIntroductions,Web,All,All,
1,2,Deployed,2024-12-29,,Web,All,All,
1,3,Planned,2024-12-29,AsianDating,Web,All,All,
1,4,Planned,2024-12-31,AfroIntroductions,Web,All,All,
1,5,Planned,2024-12-31,All,Web,All,All,
5,0,Expansion,2024-12-29,BBWCupid,All,All,All,dfghjkl
16,0,Expansion,2024-12-29,ELC+SLC,All,All,All,
