PubID,StatusID,Action,Date,Sites,Devices,Genders,Languages,Comment
0,0,Roll Out,2024-12-29,['All'],Web,All,All,
0,1,Deployed,2024-12-29,['AsianDating'],Web,All,All,
0,2,Planned,2024-12-11,['AfroIntroductions'],Web,All,All,
0,3,Roll Out,2024-12-29,['AfroIntroductions'],Web,All,All,
0,4,Deployed,2024-12-29,['AfroIntroductions'],Web,All,All,
0,5,Planned,2024-12-29,['AfroIntroductions'],Web,All,All,
1,0,Planned,2024-12-29,['All'],Web,All,All,
1,1,Deployed,2024-12-29,['AfroIntroductions'],Web,All,All,
1,2,Deployed,2024-12-29,,Web,All,All,
5,0,Expansion,2024-12-29,['BBWCupid'],All,All,All,dfghjkl
