PubID,Ticket,Name,Platform,Assignee,Start Date,Feature Flag,Planned Sites,Planned Devices,Planned Genders,Planned Languages,Current Status,Analytics,Publication
0,http://127.0.0.1:8050/,Mikhail Sergeev,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Roll Out,,[Mikhail Sergeev](http://127.0.0.1:8050/)
1,http://127.0.0.1:8050/,Mikhail Sergeev2,Hard-coded,Nathalia Pena,,False,All,Web,All,All,Planned,,[Mikhail Sergeev2](http://127.0.0.1:8050/)
2,http://127.0.0.1:8050/,Mikhail 3,Hard-coded,Angela Triana,,False,All,Web,All,All,Planned,,[Mikhail 3](http://127.0.0.1:8050/)
3,http://127.0.0.1:8050/,Mikhail 34,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Planned,,[Mikhail 34](http://127.0.0.1:8050/)
4,http://127.0.0.1:8050/,Mikhail Sergeev3,Hard-coded,Ranti Wardhani,,False,All,Web,All,All,Planned,,[Mikhail Sergeev3](http://127.0.0.1:8050/)
5,http://127.0.0.1:8050/,Mikhail Sergeev378989,Retention,Dmitrii Galkin,,False,All,All,All,All,Expansion,,[Mikhail Sergeev378989](http://127.0.0.1:8050/)
6,http://127.0.0.1:8050/,dfs,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Planned,,[dfs](http://127.0.0.1:8050/)
7,http://127.0.0.1:8050/,Mikhail Sergeev342,Retention,,,False,All,All,Male,All,Planned,,[Mikhail Sergeev342](http://127.0.0.1:8050/)
8,http://127.0.0.1:8050/,Mikhail Sergeev233234,Hard-coded,Faza Adiguno,2024-12-05,False,All,Web,All,All,Planned,,[Mikhail Sergeev233234](http://127.0.0.1:8050/)
9,http://rwr42343232.ru/,Mikhail Sergeev432,Hard-coded,Faza Adiguno,,False,All,Web,All,All,Planned,,[Mikhail Sergeev432](http://rwr42343232.ru/)
10,http://127.0.0.1:8050/,Mikhail Sergeev2332354,Hard-coded,Angela Triana,,True,Core CM,,All,All,Planned,,[Mikhail Sergeev2332354](http://127.0.0.1:8050/)
11,http://127.0.0.1:8050/,dfs121,Hard-coded,Faza Adiguno,,False,"ColombianCupid, EuroCupid, AfroIntroductions, Core CM, All",,All,All,Planned,,[dfs121](http://127.0.0.1:8050/)
12,http://127.0.0.1:8050/,dfs121w2,Hard-coded,,,False,,,All,All,Planned,,[dfs121w2](http://127.0.0.1:8050/)
13,http://127.0.0.1:8050/,Mikhail S342ergeev233234,Hard-coded,Faza Adiguno,2024-12-03,False,"All, Core CM, EuroCupid",Web,All,All,Planned,,[Mikhail S342ergeev233234](http://127.0.0.1:8050/)
14,http://127.0.0.1:8050/,Mikhail Sergeev233234234,Retention,Nathalia Pena,,False,JapanCupid,"All, Android Wrapper",All,"All, Gujarati",Planned,,[Mikhail Sergeev233234234](http://127.0.0.1:8050/)
15,http://127.0.0.1:8050/,Mikhail Sergeev4,Retention,Nathalia Pena,,False,"All, EuroCupid","All, Android",All,"All, Main Languages (25)",Planned,,[Mikhail Sergeev4](http://127.0.0.1:8050/)
16,http://127.0.0.1:8050/,Mikhail Sergeev3ee23,Retention,Nathalia Pena,,False,"ELC+SLC, PinkCupid",All,All,All,Expansion,,[Mikhail Sergeev3ee23](http://127.0.0.1:8050/)
